,car/nyi,bos/tor,flo/tb,nyr/was,win/col,van/nas,dal/vgk,edm/lak,circuit,nyr/car,flo/bos,van/edm,dal/col,nyr/flo,dal/edm
seb*,car 6,tor 6,tb 6,nyr 5,col 6,nas 7,vgk 6,edm 5,edm,car 7,flo 6,edm 7,col 6,flo 7,edm 7
alain,car 7,bos 6,flo 7,nyr 5,win 6,nas 7,dal 7 ,edm 5,nyr,nyr 7,flo 6,edm 6,dal 7,nyr 7,dal 6
chee*,nyi 7,bos 7,tb 6,nyr 5,win 5,van 7,dal 7 ,edm 5,win,car 6,bos 6,van 7,dal 7,nyr 5,dal 5
justine*,car 6,bos 7,flo 6,nyr 5,col 7,van 6,dal 5,edm 7,car,car 7,flo 7,van 7,dal 7,nyr 6,dal 6
etienne*,car 7,bos 5,flo 6,nyr 6,win 6,van 5,dal 6,lak 7,van,car 6,flo 5,van 7,col 6,flo 6,dal 7
yorann*,nyi 5,tor 6,tb 4,nyr 7,col 6,nas 7,vgk 6,edm 5,tor,nyr 6,bos 6, edm 5,col 7,nyr 6,edm 7
travis,car 6,tor 7 ,flo 7,nyr 5,col 6,nas 6,vgk 6,edm 7,nyr,nyr 6,flo 6,edm 7,col 6,nyr 6,edm 6
fred*,nyi 4,tor 4,tb 4,was 4,col 4,nas 4,vgk 4,lak 4,was,car 4,bos 4,edm 4,col 4,flo 4,edm 4
louis-philippe*,car 5,bos 6,flo 7,nyr 4,col 5,van 5,dal 6,edm 6,dal,nyr 6,flo 5,edm 5,dal 6,nyr 6,dal 6
philippe R.,car 6,tor 6,flo 7,nyr 6,col 6,van 5,dal 6,edm 6,car,car 6,flo 5,edm 6,col 6,flo 5,dal 6
philippe P.,car 7,tor 7,tb 7,nyr 7,win 6,van 6,dal 7,edm 6,edm,nyr 6,flo 6,edm 6,dal 6,nyr 6 ,dal 6
Daniel*,car 6,tor 7,flo 6,nyr 6,win 6,van 5,dal 6,edm 7,car,car 6,flo 6,edm 6,dal 6,flo 6,dal 6
Norm*,nyi 7,bos 6 ,tb 6,nyr 5,col 6,van 5,dal 7,edm 7,dal,car 6,flo 7,edm 7,dal 7,nyr 7,dal 6
Pat*,nyi 7,bos 7,flo 6,nyr 5,win 6,nas 7,dal 5,edm 6,nyr,nyr 7,flo 5,edm 6,col 6,nyr 6,edm 7
Mike*,car 7,bos 7,tb 6,nyr 5,col 5,van 6,vgk 7,edm 5,tb,nyr 7,flo 5,edm 6,col 5,nyr 6,dal 7
Valérie*,car 5,bos 6,tb 6,nyr 5,win 6,van 5,dal 6,edm 6,van,nyr 6,flo 6,van 7 ,col 6,nyr 6,edm 6
resultats,car 5,bos 7,flo 5,nyr 4,col 5,van 6,dal 7,edm 5,,nyr 6,flo 6,edm 7,dal 6,,
